PVI,Support,PVI_endorsed,Support_endorsed
15,55,2,43
8,56,11,48
2,43,3,43
16,53,1,42
-13,29,-1,39
-4,39,11,56
-7,36,10,52
-7,40,11,51
3,43,13,49
3,44,1,40
-14,26,-6,35
18,51,20,58
-7,35,6,48
11,48,2,42
6,45,14,54
10,50,5,41
16,53,13,50
12,49,22,62
-2,37,2,42
-14,31,25,61
-15,29,,
1,42,,
-1,39,,
11,56,,
10,52,,
11,51,,
13,49,,
1,40,,
-1,35,,
-6,35,,
-3,38,,
-10,32,,
3,45,,
20,58,,
6,48,,
20,51,,
-6,40,,
2,42,,
-8,36,,
8,50,,
16,58,,
14,54,,
5,41,,
13,50,,
-16,28,,
-3,40,,
-8,36,,
22,62,,
2,42,,
25,61,,
3.56,44.06,,
10.71744715,9.123662888,,
