Candidate,State,Result,Trump Endorsed?,Republican Vote,Democratic Vote,Victory Margin,PVI,Contribution,Incumbent?,Trump Alignment,Trump Support in States,Percentage White,Percentage w/ Bachelor's Degree,Percentage Aged 65 or Over,Average Income
Matthew Corey,Connecticut,Lost,0,39.4,59.5,-20.1,-7,-13.1,0,,36,72.8,38,19.7,70048
Robert Arlett,Delaware,Lost,0,37.8,60,-22.2,-7,-15.2,0,,40,68.2,30.6,21,59716
Ron Curtis,Hawaii,Lost,0,28.9,71.2,-42.3,-14,-28.3,0,,26,36.6,31,20.5,69592
Geoff Diehl,Massachusetts,Lost,0,36.2,60.3,-24.1,-15,-9.1,0,,29,77.8,41.2,19,69190
Tony Campbell,Maryland,Lost,0,30.3,64.9,-34.6,-14,-20.6,0,,31,56.2,38.2,17.8,73971
Eric Brakey,Maine,Lost,0,35.2,54.3,-19.1,-2,-17.1,0,,37,96,29.4,22.7,49462
Mick Rich,New Mexico,Lost,0,30.5,54.1,-23.6,-3,-20.6,0,,38,44.3,26.4,20.1,44803
Chele Farley,New York,Lost,0,33,67,-34,-10,-24,0,,32,59.4,34.5,18.7,58878
Corey Stewart,Virginia,Lost,0,41,57,-16,-3,-13,0,,40,66.9,36.7,17.8,64902
Lawrence Zupan,Vermont,Lost,0,27.4,67.3,-39.9,-16,-23.9,0,,28,95.6,34.9,21,54166
Susan Hatchinson,Washington,Lost,0,41.6,58.4,-16.8,-8,-8.8,0,,36,76.4,33.1,18.2,61366
